50 60 06
0 0.5 
3463 3828 3834 2787 3371 2951 3975 2441 1723 3037 3449 4159 3177 3708 1571 2889 1899 1702 4061 2826 2208 1657 3018 3622 2664 3636 3381 3461 1566 2184 2504 1606 3597 2183 3089 2126 3091 1868 3220 2639 4040 2936 4272 2925 4322 3774 1998 2642 1793 2008 3135 3795 4473 3276 3418 1759 4134 3467 4416 3037 
1 0.52 
10 48 56 49 10 20 41 76 34 58 56 98 36 71 48 50 93 81 30 90 51 34 93 49 96 86 84 11 91 25 54 20 25 5 11 13 86 82 69 13 38 77 9 20 23 72 26 47 91 51 76 24 91 30 74 64 37 23 33 37 
7 56 70 40 57 64 67 8 12 42 60 61 31 22 61 48 54 83 30 84 25 44 67 13 89 50 53 49 27 70 7 81 21 30 78 59 78 84 98 8 87 33 25 88 15 67 76 32 87 39 7 6 6 10 85 45 7 28 80 21 
2 0.61 
97 64 73 67 30 10 42 48 21 97 61 51 65 13 50 99 29 60 80 27 10 30 29 10 45 94 24 32 63 16 49 76 44 89 26 68 26 12 71 46 34 29 13 39 91 7 49 36 25 27 89 96 60 73 65 43 53 83 82 58 
82 97 39 46 7 42 13 77 83 64 34 38 16 92 94 66 83 64 42 56 48 60 42 93 85 17 80 7 92 53 7 42 68 34 34 6 86 49 69 75 91 100 14 69 62 98 24 12 5 76 13 48 59 51 41 99 68 65 76 15 
3 0.53 
47 8 12 43 83 30 91 48 58 50 56 64 41 63 66 5 99 51 32 96 96 60 14 87 31 16 16 82 97 9 99 90 22 94 96 11 60 5 83 49 73 89 99 31 66 99 16 74 31 44 82 71 48 82 36 62 87 46 32 46 
62 48 87 20 38 63 21 22 21 75 49 15 25 47 27 63 10 71 100 43 67 20 48 13 51 29 50 29 55 89 65 90 26 81 45 12 16 26 8 78 8 71 94 18 58 75 10 7 66 89 95 17 42 83 51 85 12 39 63 83 
4 0.87 
66 78 62 10 66 92 53 14 85 6 82 44 24 92 90 52 30 91 61 50 27 56 23 99 76 16 90 91 67 35 60 77 57 29 92 66 48 63 26 11 93 68 97 76 39 45 97 19 93 99 33 56 40 74 74 18 13 36 92 69 
69 33 37 66 13 97 61 100 82 96 16 26 17 16 97 96 67 33 24 18 39 60 39 86 72 94 21 84 55 100 61 83 35 93 28 47 29 11 84 43 47 83 75 38 7 82 34 74 48 50 59 41 34 76 62 21 52 31 40 17 
5 0.86 
89 33 70 46 40 56 20 27 66 100 19 94 59 80 24 97 33 11 45 31 25 23 44 26 69 56 62 69 77 89 12 98 49 18 45 23 52 99 95 7 81 53 79 47 21 7 7 8 14 68 64 79 43 68 37 25 39 9 53 16 
74 17 100 43 76 64 62 23 89 47 76 46 37 60 67 78 15 6 67 72 59 91 45 25 97 38 35 73 58 79 31 33 71 51 78 46 33 89 81 7 56 36 42 34 27 20 96 42 86 82 49 63 62 43 36 18 44 79 21 40 
6 0.75 
77 44 75 68 73 65 35 59 82 37 12 95 19 32 94 32 20 38 96 60 84 85 95 98 25 89 91 54 88 85 66 91 26 76 30 24 47 33 71 35 6 34 77 25 22 49 26 96 80 38 59 86 77 46 72 92 48 92 8 78 
12 26 17 36 30 36 88 64 93 84 80 86 64 79 5 57 68 60 17 67 13 49 10 43 71 62 28 27 74 99 11 36 78 68 36 90 24 94 75 30 22 78 56 77 76 78 76 72 68 96 7 67 13 56 27 7 13 25 7 38 
7 0.77 
95 67 42 15 16 53 64 62 30 87 97 21 57 75 81 68 13 100 52 58 48 24 35 31 38 34 60 6 75 41 50 48 73 54 22 98 71 80 29 47 50 38 65 28 21 19 29 79 54 11 86 95 47 64 28 14 32 78 59 29 
