50 60 01
0 0.5 
2929 2790 2671 4098 1660 3328 1511 2122 3867 2182 3250 4014 3105 3476 2945 2419 1633 1928 3260 4367 3378 1866 3272 2917 1802 3686 1825 2362 2859 2635 1989 1548 3561 3683 2101 2996 3484 1776 3709 2553 2446 3442 2605 4014 4193 2388 1517 3725 4449 1868 3287 2391 3495 2180 2379 3076 2564 4050 2263 4181 
1 1.0 
29 49 57 11 44 10 61 93 17 14 24 32 58 56 64 39 76 39 31 67 58 53 93 84 57 85 6 76 20 76 26 80 46 82 56 91 11 9 69 77 46 65 66 43 10 20 14 51 58 70 51 79 70 24 87 22 28 98 60 72 
84 64 48 71 98 43 75 96 56 64 25 18 49 33 52 59 98 24 18 44 27 32 43 21 67 20 96 94 90 7 91 63 27 58 60 47 75 60 11 50 87 100 26 33 67 79 53 85 85 57 77 77 41 78 70 98 59 77 49 51 
2 0.81 
75 64 78 39 97 7 82 35 65 84 53 98 82 48 61 43 51 29 100 26 24 93 82 80 93 82 36 38 93 14 24 43 84 79 82 11 68 39 24 49 20 80 33 64 88 44 14 29 52 52 32 39 63 95 71 73 96 46 74 84 
82 39 32 33 66 87 24 30 23 82 19 24 68 90 24 45 47 78 58 91 34 79 76 43 46 60 84 83 88 93 45 92 54 78 47 100 40 11 25 36 39 53 75 44 73 56 10 30 51 30 18 78 40 98 11 74 17 20 70 11 
3 0.56 
25 60 40 100 55 35 97 35 84 7 52 67 69 43 75 52 94 53 15 47 85 46 70 23 100 13 85 25 98 67 56 29 78 86 76 61 26 51 92 20 26 58 39 79 76 28 95 74 50 18 98 57 37 74 100 78 92 22 18 60 
23 82 14 69 52 95 10 87 49 24 62 66 33 26 79 84 87 86 35 60 84 70 34 22 48 58 98 19 10 11 75 18 63 88 35 88 25 40 20 93 6 6 45 71 37 32 91 74 48 70 48 48 11 62 78 26 41 76 17 47 
4 0.8 
85 83 10 97 79 90 24 89 45 29 57 91 20 16 32 79 65 67 39 17 9 72 30 50 15 18 25 98 56 85 12 76 91 23 86 61 43 24 93 35 72 40 23 30 13 7 70 53 82 12 56 20 22 14 45 36 38 37 46 35 
24 14 23 90 45 74 95 17 62 66 19 25 57 29 49 35 96 9 19 23 98 77 40 28 38 37 16 81 17 77 58 20 87 18 97 98 46 45 76 12 21 64 62 11 61 23 32 9 31 92 71 26 8 22 82 87 46 87 66 52 
5 0.78 
53 57 71 15 44 10 60 19 59 6 18 35 70 55 66 15 97 21 64 86 53 75 11 57 50 59 32 96 84 70 42 85 92 68 52 84 23 9 12 29 71 59 79 62 56 23 45 78 99 38 92 37 81 97 53 92 48 12 36 52 
22 94 6 53 53 52 22 6 94 68 66 82 96 70 36 44 24 57 42 72 69 65 74 48 36 51 23 27 23 52 79 17 71 60 19 79 49 24 35 72 10 50 38 95 45 66 96 33 35 53 94 42 42 56 7 47 68 89 49 9 
6 0.51 
77 41 60 76 60 46 28 60 23 87 41 7 43 71 57 56 12 38 72 99 80 48 95 51 53 66 98 21 56 32 88 68 11 10 59 98 74 68 30 87 14 91 80 96 87 9 87 93 74 79 83 93 24 81 16 57 26 6 8 75 
20 28 70 53 84 90 98 17 24 25 50 81 20 41 54 95 93 46 93 100 61 57 64 15 74 55 16 46 98 46 56 56 95 99 23 26 24 40 13 85 76 34 94 98 75 63 62 24 40 68 16 71 33 23 20 88 73 98 95 56 
7 0.76 
16 18 90 35 38 15 99 20 53 65 39 19 90 78 68 83 9 62 85 34 74 51 75 63 64 91 69 73 33 78 94 98 21 82 80 87 10 52 88 32 32 80 80 15 44 34 59 56 64 67 94 66 5 79 57 60 88 46 20 17 
